Location,Fatalities,Total Crashes
 ,89740.0,3885
Alabama,93.0,13
Alaska,1273.0,177
Arizona,347.0,32
Arkansas,67.0,13
California,1754.0,143
Colorado,345.0,41
Connecticut,75.0,14
Delaware,8.0,3
Florida,567.0,42
Georgia,594.0,31
Hawaii,290.0,34
Idaho,114.0,17
Illinois,688.0,41
Indiana,313.0,25
Iowa,165.0,10
Kansas,68.0,14
Kentucky,305.0,15
Louisiana,320.0,20
Maine,42.0,7
Maryland,320.0,21
Massachusetts,328.0,17
Michigan,399.0,28
Minnesota,113.0,13
Mississippi,53.0,12
Missouri,218.0,26
Montana,139.0,21
Nebraska,95.0,9
Nevada,392.0,29
New Hampshire,47.0,7
New Jersey,485.0,40
New Mexico,153.0,26
New York,1558.0,62
North Carolina,392.0,28
North Dakota,14.0,2
Ohio,221.0,50
Oklahoma,103.0,7
Oregon,79.0,16
Pennsylvania,488.0,42
Rhode Island,17.0,5
South Carolina,87.0,7
South Dakota,8.0,2
Tennessee,113.0,15
Texas,604.0,52
Utah,237.0,20
Vermont,10.0,5
Virginia,545.0,24
Washington,444.0,43
West Virginia,190.0,12
Wisconsin,66.0,9
Wyoming,202.0,21
