location,code,crashes
Alabama,AL,13
Alaska,AK,177
Arizona,AZ,32
Arkansas,AR,13
California,CA,143
Colorado,CO,41
Connecticut,CT,14
Delaware,DE,3
Florida,FL,42
Georgia,GA,31
Hawaii,HI,34
Idaho,ID,17
Illinois,IL,41
Indiana,IN,25
Iowa,IA,10
Kansas,KS,14
Kentucky,KY,15
Louisiana,LA,20
Maine,ME,7
Maryland,MD,21
Massachusetts,MA,17
Michigan,MI,28
Minnesota,MN,13
Mississippi,MS,12
Missouri,MO,26
Montana,MT,21
Nebraska,NE,9
Nevada,NV,29
New Hampshire,NH,7
New Jersey,NJ,40
New Mexico,NM,26
New York,NY,62
North Carolina,NC,28
North Dakota,ND,2
Ohio,OH,50
Oklahoma,OK,7
Oregon,OR,16
Pennsylvania,PA,42
Rhode Island,RI,5
South Carolina,SC,7
South Dakota,SD,2
Tennessee,TN,15
Texas,TX,52
Utah,UT,20
Vermont,VT,5
Virginia,VA,24
Washington,WA,43
West Virginia,WV,12
Wisconsin,WI,9
Wyoming,WY,21
