Location,Fatalities,Total Crashes
 AtlantiOcean,26.0,1
 Australia,2.0,2
 Bolivia,7.0,1
 Brazil,19.0,3
 Cameroon,3.0,1
 Canada,7.0,1
 Canary Islands,155.0,1
 Colombia,45.0,2
 DemocratiRepubliCongo,7.0,1
 England,50.0,1
 Georgia,1.0,1
 India,9.0,1
 Indonesia,84.0,3
 Italy,38.0,2
 Malaysia,68.0,2
 New Guinea,10.0,2
 New Mexico,1.0,1
 Pakistan,7.0,1
 Russia,26.0,2
 Switzerland,108.0,1
 Uruguay,1.0,1
 Uzbekistan,34.0,1
 Zimbabwe,1.0,1
110 miles West of Ireland,329.0,1
325 miles east of Wake Island,58.0,1
AK,8.0,2
Afghanistan,1117.0,32
Afghanstan,27.0,2
Africa,33.0,1
Airzona,7.0,1
Alaksa,17.0,3
Alakska,5.0,1
Albania,33.0,2
Algeria,443.0,19
Algiers,5.0,2
American Samoa,97.0,2
Amsterdam,6.0,1
Angola,985.0,43
Antarctica,257.0,1
Antigua,30.0,1
Arazona,1.0,1
Aregntina,10.0,1
Argentina,877.0,44
Armenia,40.0,3
AtlantiOcean,120.0,12
AtlantiOcean between N.Y. and Bermuda,3.0,1
AtlantiOcean off Florida,28.0,1
Australia,659.0,76
Austria,109.0,4
Aviateca,2.0,1
Azerbaijan,107.0,5
Azores,109.0,5
Azores (Portugal),35.0,1
BO,6.0,1
Baangladesh,3.0,1
Bahamas,69.0,10
Bahrain,143.0,1
BaltiSea,8.0,1
Bangladesh,97.0,3
Barbados,74.0,2
Barquisimeto Venezuela,23.0,1
Belgian Congo,50.0,2
Belgian Congo (Zaire),31.0,1
Belgium,293.0,17
Belgium Congo,13.0,1
Belize,8.0,1
Benin,140.0,1
Bermuda,37.0,1
Bhutan,3.0,1
Black Sea,20.0,1
Boliva,72.0,2
Bolivia,631.0,45
Borneo,0.0,1
Bosnia,7.0,1
Bosnia Herzegovina,3.0,1
Bosnia-Herzegovina,9.0,1
Botswana,78.0,1
Brazil,3203.0,186
British Columbia,2.0,1
British Columbia Canada,2.0,1
British Virgin Islands,1.0,1
Brunei,12.0,1
Buenos Aires,3.0,1
Bugaria,18.0,1
Bulgaria,334.0,10
Bulgeria,20.0,1
Burma,276.0,11
CA,22.0,3
Cailifornia,9.0,1
Calilfornia,0.0,1
Cambodia,107.0,4
Cameroon,388.0,11
Cameroons,12.0,1
Canada,1863.0,149
Canary Islands,774.0,4
Cape Verde,1.0,1
Cape Verde Islands,18.0,1
Caribbean,10.0,1
Central African Republic,34.0,3
Central Mozambique,21.0,1
Chad,10.0,2
Chechnya,139.0,2
Chile,442.0,24
Chili,10.0,1
China,2198.0,88
Coloado,2.0,1
Colombia,2897.0,147
Comoro Islands,33.0,2
Comoros,127.0,1
Comoros Islands,1.0,1
Congo,427.0,18
Cook Islands,6.0,1
Costa Rica,106.0,12
Crete,75.0,2
Croatia,35.0,1
Cuba,370.0,14
Cyprus,180.0,4
Czech Republic,2.0,1
Czechoslovakia,430.0,15
D.C.,80.0,2
DR Congo,22.0,2
Deleware,10.0,1
DemocratiRepubliCogo,2.0,1
DemocratiRepubliCongo,98.0,16
DemocratiRepubliof Congo,7.0,1
DemoctratiRepubliCongo,11.0,1
Denmark,202.0,10
Djbouti,35.0,1
Djibouti,19.0,1
Domincan Republic,189.0,1
Dominica,11.0,1
Dominican Republic,170.0,5
Dutch Guyana,35.0,1
East Germany,304.0,4
East Timor,6.0,1
Ecuador,824.0,34
Egypt,1021.0,38
El Salvador,162.0,5
En route from Argentina  to  California,1.0,1
England,1534.0,104
English Channel,12.0,6
Equatorial Guinea,141.0,4
Eritrea,10.0,1
Estonia,48.0,5
Ethiopia,301.0,17
Eugene Island,15.0,1
Fiji,39.0,4
Finland,68.0,4
Formosa Strait,6.0,1
France,2740.0,133
French Cameroons,13.0,1
French Equatorial Africa,54.0,2
French Equitorial Africa,16.0,1
French Indo-China,50.0,2
French Polynesia,31.0,2
French Somaliland,30.0,1
French West Africa,22.0,2
French West Indies,19.0,1
GA,10.0,1
Gabon,44.0,5
Gambia,81.0,6
Germany,895.0,79
Ghana,8.0,2
Gibraltar,12.0,1
Great Inagua,2.0,1
Greece,805.0,26
Greenland,51.0,6
Grenadines Islands,2.0,1
Guadeloupe,2.0,1
Guam,276.0,3
Guatemala,283.0,17
Guernsey,2.0,1
Guinea,38.0,2
Gulf of Finland,6.0,1
Gulf of Mexico,63.0,3
Gulf of Oman,8.0,1
Gulf of Sirte,10.0,1
Gulf of Thailand,13.0,1
Gulf of Tonkin,26.0,2
Guyana,6.0,3
HI,6.0,2
Haiti,90.0,5
Hati,11.0,1
Havana. Cuba,5.0,1
Himalayas,44.0,1
Honduras,328.0,18
Hong Kong,196.0,9
Hunary,9.0,1
Hungary,99.0,8
IN,4.0,1
Iceland,59.0,6
Ile of Man,6.0,1
Ilinois,1.0,1
India,2615.0,98
Indian,4.0,1
Indian Ocean,189.0,3
Indonesia,1966.0,84
Inodnesia,14.0,1
Iran,1772.0,38
Iraq,145.0,10
Ireland,405.0,15
Islay Island,1.0,1
Italy,1694.0,77
Ivory Coast,257.0,4
Jamacia,37.0,1
Jamaica,13.0,1
Japan,2050.0,45
Jersey,21.0,2
Jordan,120.0,7
Kazakhstan,42.0,3
Kenya,280.0,22
Khmer Republic,19.0,1
Kirghizia,15.0,1
Kosovo,24.0,1
Kuwait,133.0,2
Kyrgyzstan,74.0,2
Labrador,23.0,1
Laos,431.0,26
Latvia,48.0,2
Lebanon,186.0,7
Leeward Islands,13.0,1
Lesotho,18.0,1
Liberia,110.0,5
Libya,434.0,14
Lithuania,51.0,1
London,3.0,1
Louisana,2.0,1
Luxembourg,27.0,2
Macedonia,218.0,4
Madagascar,99.0,8
Malagasy Republic,42.0,1
Malawi,16.0,2
Malaya,21.0,1
Malaysia,185.0,10
Mali,66.0,4
Malta,125.0,5
Manitoba,22.0,2
Manmar,8.0,1
Mariana Islands,91.0,2
Marshall Islands,26.0,1
Martinique,10.0,2
Massachusett,192.0,6
Massachutes,3.0,1
Mauretania,1.0,1
Mauritania,128.0,6
Mediterranean Sea,19.0,3
Mexico,1233.0,83
Midway Island Naval Air Station,6.0,1
Milford Sound,5.0,1
Minnisota,7.0,2
Mocambique,2.0,1
Moldova,8.0,1
Mongolia,162.0,6
Morocco,721.0,24
Morrocco,77.0,1
Morroco,38.0,1
Mozambique,73.0,5
Mt. Helmos. Greece,10.0,1
Myanmar,207.0,12
NE of Bermuda,31.0,1
NY,66.0,2
Namibia,4.0,1
Napal,9.0,1
Near Ardinello di Amaseno,18.0,1
Near Bogota Colombia,1.0,1
Near Chicago Illinois,1.0,1
Near Hong Kong International Airport,19.0,1
Near Houma Louisiana,8.0,1
Near Karkov,3.0,1
Near Moscow,9.0,1
Near Nag,32.0,1
Near Novgorod (Russia,6.0,1
Near Recife Brazil,10.0,1
Near Tipuani (Bolivia,4.0,1
Near Villia Greece,23.0,1
Nepal,606.0,26
Netherlands,106.0,12
Netherlands Antilles,26.0,3
Netherlands Indies,4.0,1
New Guinea,272.0,20
New York (Idlewild),4.0,1
New Zealand,141.0,24
Newfoundland,161.0,9
Nicaragua,324.0,13
Niger,187.0,3
Nigeria,1278.0,33
North AtlantiOcean,130.0,6
North Atlantic,12.0,1
North Korea,52.0,2
North PacifiOcean,76.0,4
North Sea,111.0,8
Northern Afghanistan,39.0,1
Northern India,98.0,1
Northern Iraq,26.0,1
Northern Ireland,27.0,1
Northern Israel,73.0,1
Norway,545.0,30
Off  Bimini,6.0,1
Off  Taiwan,13.0,1
Off Algiers,2.0,1
Off Bahrain,86.0,2
Off Chili,5.0,1
Off Gibraltar,3.0,2
Off Guam,19.0,1
Off Hong Kong,4.0,1
Off Irish coast,14.0,1
Off Malaya,18.0,1
Off Malta-Luqa,5.0,1
Off Morocco,2.0,1
Off Northern Germany,23.0,1
Off Northern Panama,68.0,1
Off Puerto Rico,3.0,1
Off South Africa,10.0,1
Off Spain,1.0,1
Off São Tomé Island,4.0,1
Off Tabones Island  Philippines,23.0,1
Off Taiwan,15.0,1
Off Turks and Caicos Islands,12.0,1
Off Wake Island,16.0,1
Off the Alaska coast,4.0,1
Off the Florida coast,14.0,1
Off the Oregon coast,4.0,1
Off the Panama coast,20.0,1
Off the coast of France,17.0,1
Off the coast of Maryland,42.0,1
Off western Denmark,18.0,1
Okinawa,67.0,4
Oklohoma,3.0,1
Oman,12.0,1
Over the Andaman Sea,115.0,1
Over the AtlantiOcean,2.0,1
Over the English Channel,3.0,1
Over the Gulf of Finland,12.0,2
Over the Mediterranean,23.0,1
Over the Mediterranean Sea,80.0,3
Over the North Atlantic,53.0,1
Over the North PacifiOcean,67.0,1
Over the North Sea,14.0,1
Over the PacifiOcean,1.0,2
PacifiOcean,100.0,7
PacifiOcean between Hong Kong and Macao,25.0,1
PacifiOcean between Manila and Guam,15.0,1
Pakistan,660.0,29
Panama,267.0,15
Papua New Guinea,157.0,20
Paraguay,25.0,5
Persian Gulf,26.0,2
Peru,1495.0,54
Philipines,14.0,1
Philippine Sea,107.0,1
Philippines,1266.0,68
Phillipines,11.0,1
Poland,440.0,12
Portugal,603.0,13
Puerto Rico,257.0,21
Qatar,47.0,2
Qld. Australia,29.0,1
Queensland  Australia,18.0,1
Republiof Djibouti,4.0,1
Republiof Georgia,86.0,1
Reunion,19.0,1
Rhodesia,59.0,1
Rhodesia (Zimbabwe),38.0,1
Romainia,31.0,1
Romania,336.0,21
Russia,6636.0,173
Russian,33.0,1
Rwanda,26.0,2
Saint Lucia,10.0,1
Saint Lucia Island,3.0,1
Sainte Lucia Island,4.0,1
Samoa,3.0,1
Santiago de Cuba,4.0,1
Sao Gabriel de Cachoeria,4.0,1
Sao Tomé,21.0,1
Sao Tomé & Principe,23.0,1
Sarawak,19.0,1
Saskatchewan,1.0,1
Saudi Arabia,1183.0,16
Scotland,573.0,17
Sea of Japan,18.0,1
Senegal,145.0,7
Sierra Leone,45.0,2
Sierre Leone,11.0,1
Singapore,46.0,2
Slovakia,9.0,2
Slovenia,1.0,1
Solomon Islands,26.0,2
Somalia,115.0,7
South Africa,212.0,20
South Africa (Namibia),123.0,1
South AtlantiOcean,25.0,2
South Dekota,26.0,1
South Korea,518.0,17
South Vietnam,1266.0,38
South Yemen,22.0,1
South of Gibraltar,10.0,1
Southeastern Bolivia,19.0,1
Soviet Union,14.0,2
Spain,1539.0,65
Sri Lanka,741.0,13
Sudan,629.0,30
Surinam,176.0,1
Suriname,29.0,2
Sweden,117.0,11
Switzerland,476.0,22
Syria,242.0,9
Tahiti,78.0,1
Taiwan,1117.0,36
Tajikistan,82.0,1
Tanganyika,16.0,2
Tanzania,38.0,6
Tasmania,29.0,2
Tennesee,50.0,5
Thailand,850.0,23
The Netherlands,39.0,4
Thiland,83.0,1
Timor,13.0,2
Trinidad,39.0,3
Tunisia,14.0,1
Turkey,929.0,31
Turkmenistan,12.0,1
Turks & Caicos Islands,1.0,1
U.S. Samoa,7.0,1
U.S. Virgin Islands,7.0,2
UAE,112.0,1
UAR,30.0,1
UK,46.0,2
US Virgin Islands,23.0,1
USSR,2831.0,61
Uganda,31.0,5
Ukraine,263.0,7
United Arab Emirates,256.0,6
United Kingdom,9.0,3
United States,15549.0,1364
Upper Volta,47.0,1
Uruguay,156.0,5
Uzbekistan,56.0,5
Vanuatu,17.0,3
Venezuela,1191.0,58
Vienna,2.0,1
Vietnam,921.0,36
Virgin Islands,77.0,9
Virginia.,64.0,1
WY,1.0,1
Wake Island,11.0,1
Wales,103.0,2
Washingon,32.0,2
Washington D.C.,6.0,1
Washington DC,13.0,1
West Germany,247.0,8
West Indies,190.0,3
West Pakistan,40.0,2
West Samoa,10.0,1
Western Samoa,32.0,1
Wisconson,17.0,4
Yemen,157.0,5
Yugosalvia,12.0,1
Yugoslavia,508.0,14
Yukon Territory,44.0,1
Zaire,272.0,12
